仮名,字母,Unicode,備考
エ,衣,U+1B000,片仮名ア行の「エ」。(「エ」はヤ行の「エ」)
え,江,U+1B001,や行の「え」
あ,安,U+1B002,
あ,愛,U+1B003,
あ,阿,U+1B004,
あ/を,惡,U+1B005,
い,以,U+1B006,
い,伊,U+1B007,
い,意,U+1B008,
い,移,U+1B009,
う,宇,U+1B00A,
う,宇,U+1B00B,
う,憂,U+1B00C,
う,有,U+1B00D,
う,雲,U+1B00E,
え,盈,U+1B00F,
え,縁,U+1B010,
え,衣,U+1B011,
え,衣,U+1B012,
え,要,U+1B013,
お,於,U+1B014,
お,於,U+1B015,
お,隱,U+1B016,
か,佳,U+1B017,
か,加,U+1B018,
か,可,U+1B019,
か,可,U+1B01A,
か,嘉,U+1B01B,
か,我,U+1B01C,
か,歟,U+1B01D,
か,賀,U+1B01E,
か,閑,U+1B01F,
か,香,U+1B020,
か,駕,U+1B021,
か/け,家,U+1B022,
き,喜,U+1B023,
き,幾,U+1B024,
き,幾,U+1B025,
き,支,U+1B026,
き,木,U+1B027,
き,祈,U+1B028,
き,貴,U+1B029,
き,起,U+1B02A,
く,久,U+1B02B,
く,久,U+1B02C,
く,九,U+1B02D,
く,供,U+1B02E,
く,倶,U+1B02F,
く,具,U+1B030,
く,求,U+1B031,
け,介,U+1B032,
け,介,U+1B033,
け,希,U+1B034,
け,氣,U+1B035,
け,計,U+1B036,
け,遣,U+1B037,
こ,古,U+1B038,
こ,故,U+1B039,
こ,許,U+1B03A,
こ/き,期,U+1B03B,
さ,乍,U+1B03C,
さ,佐,U+1B03D,
さ,佐,U+1B03E,
さ,左,U+1B03F,
さ,差,U+1B040,
さ,散,U+1B041,
さ,斜,U+1B042,
さ,沙,U+1B043,
し,之,U+1B044,
し,之,U+1B045,
し,事,U+1B046,
し,四,U+1B047,
し,志,U+1B048,
し,新,U+1B049,
す,受,U+1B04A,
す,壽,U+1B04B,
す,數,U+1B04C,
す,數,U+1B04D,
す,春,U+1B04E,
す,春,U+1B04F,
す,須,U+1B050,
す,須,U+1B051,
せ,世,U+1B052,
せ,世,U+1B053,
せ,世,U+1B054,
せ,勢,U+1B055,
せ,聲,U+1B056,
そ,所,U+1B057,
そ,所,U+1B058,
そ,曾,U+1B059,
そ,曾,U+1B05A,
そ,楚,U+1B05B,
そ,蘇,U+1B05C,
そ,處,U+1B05D,
た,堂,U+1B05E,
た,多,U+1B05F,
た,多,U+1B060,
た,當,U+1B061,
ち,千,U+1B062,
ち,地,U+1B063,
ち,智,U+1B064,
ち,知,U+1B065,
ち,知,U+1B066,
ち,致,U+1B067,
ち,遲,U+1B068,
つ,川,U+1B069,
つ,川,U+1B06A,
つ,津,U+1B06B,
つ,都,U+1B06C,
つ/と,徒,U+1B06D,
て,亭,U+1B06E,
て,低,U+1B06F,
て,傳,U+1B070,
て,天,U+1B071,
て,天,U+1B072,
て,天,U+1B073,
て,帝,U+1B074,
て,弖,U+1B075,
て,轉,U+1B076,
と,土,U+1B077,
と,度,U+1B078,
と,東,U+1B079,
と,登,U+1B07A,
と,登,U+1B07B,
と,砥,U+1B07C,
と/ら,等,U+1B07D,
な,南,U+1B07E,
な,名,U+1B07F,
な,奈,U+1B080,
な,奈,U+1B081,
な,奈,U+1B082,
な,菜,U+1B083,
な,那,U+1B084,
な,那,U+1B085,
な,難,U+1B086,
に,丹,U+1B087,
に,二,U+1B088,
に,仁,U+1B089,
に,兒,U+1B08A,
に,爾,U+1B08B,
に,爾,U+1B08C,
に,耳,U+1B08D,
に/て,而,U+1B08E,
ぬ,努,U+1B08F,
ぬ,怒,U+1B090,
ぬ,怒,U+1B091,
ね,年,U+1B092,
ね,年,U+1B093,
ね,年,U+1B094,
ね,根,U+1B095,
ね,熱,U+1B096,
ね,禰,U+1B097,
ね/こ,子,U+1B098,
の,乃,U+1B099,
の,濃,U+1B09A,
の,能,U+1B09B,
の,能,U+1B09C,
の,農,U+1B09D,
は,八,U+1B09E,片仮名ではない
は,半,U+1B09F,
は,婆,U+1B0A0,
は,波,U+1B0A1,
は,盤,U+1B0A2,
は,盤,U+1B0A3,
は,破,U+1B0A4,
は,者,U+1B0A5,
は,者,U+1B0A6,
は,葉,U+1B0A7,
は,頗,U+1B0A8,
ひ,悲,U+1B0A9,
ひ,日,U+1B0AA,
ひ,比,U+1B0AB,
ひ,避,U+1B0AC,
ひ,非,U+1B0AD,
ひ,飛,U+1B0AE,
ひ,飛,U+1B0AF,
ふ,不,U+1B0B0,
ふ,婦,U+1B0B1,
ふ,布,U+1B0B2,
へ,倍,U+1B0B3,
へ,弊,U+1B0B4,
へ,弊,U+1B0B5,
へ,遍,U+1B0B6,
へ,邊,U+1B0B7,
へ,邊,U+1B0B8,
へ,部,U+1B0B9,
ほ,保,U+1B0BA,
ほ,保,U+1B0BB,
ほ,報,U+1B0BC,
ほ,奉,U+1B0BD,
ほ,寶,U+1B0BE,
ほ,本,U+1B0BF,
ほ,本,U+1B0C0,
ほ,豊,U+1B0C1,
ま,万,U+1B0C2,
ま,末,U+1B0C3,
ま,末,U+1B0C4,
ま,滿,U+1B0C5,
ま,滿,U+1B0C6,
ま,萬,U+1B0C7,
ま,麻,U+1B0C8,
み,三,U+1B0C9,
み,微,U+1B0CA,
み,美,U+1B0CB,
み,美,U+1B0CC,
み,美,U+1B0CD,
み,見,U+1B0CE,
み,身,U+1B0CF,
む,武,U+1B0D0,
む,無,U+1B0D1,
む,牟,U+1B0D2,
む,舞,U+1B0D3,
め,免,U+1B0D4,
め,面,U+1B0D5,
め/ま,馬,U+1B0D6,
も,母,U+1B0D7,
も,毛,U+1B0D8,
も,毛,U+1B0D9,
も,毛,U+1B0DA,
も,茂,U+1B0DB,
も,裳,U+1B0DC,
や,也,U+1B0DD,
や,也,U+1B0DE,
や,屋,U+1B0DF,
や,耶,U+1B0E0,
や,耶,U+1B0E1,
や/よ,夜,U+1B0E2,
ゆ,游,U+1B0E3,
ゆ,由,U+1B0E4,
ゆ,由,U+1B0E5,
ゆ,遊,U+1B0E6,
よ,余,U+1B0E7,
よ,余,U+1B0E8,
よ,與,U+1B0E9,
よ,與,U+1B0EA,
よ,與,U+1B0EB,
よ,餘,U+1B0EC,
ら,羅,U+1B0ED,
ら,良,U+1B0EE,
ら,良,U+1B0EF,
ら,良,U+1B0F0,
り,利,U+1B0F1,
り,利,U+1B0F2,
り,李,U+1B0F3,
り,梨,U+1B0F4,
り,理,U+1B0F5,
り,里,U+1B0F6,
り,離,U+1B0F7,
る,流,U+1B0F8,
る,留,U+1B0F9,
る,留,U+1B0FA,
る,留,U+1B0FB,
る,累,U+1B0FC,
る,類,U+1B0FD,
れ,禮,U+1B0FE,
れ,禮,U+1B0FF,
れ,連,U+1B100,
れ,麗,U+1B101,
ろ,呂,U+1B102,
ろ,呂,U+1B103,
ろ,婁,U+1B104,
ろ,樓,U+1B105,
ろ,路,U+1B106,
ろ,露,U+1B107,
わ,倭,U+1B108,
わ,和,U+1B109,
わ,和,U+1B10A,
わ,王,U+1B10B,
わ,王,U+1B10C,
ゐ,井,U+1B10D,
ゐ,井,U+1B10E,
ゐ,居,U+1B10F,
ゐ,爲,U+1B110,
ゐ,遺,U+1B111,
ゑ,惠,U+1B112,
ゑ,衞,U+1B113,
ゑ,衞,U+1B114,
ゑ,衞,U+1B115,
を,乎,U+1B116,
を,乎,U+1B117,
を,尾,U+1B118,
を,緒,U+1B119,
を,越,U+1B11A,
を,遠,U+1B11B,
を,遠,U+1B11C,
ん/も/む,无,U+1B11D,
ん/も/む,无,U+1B11E,